org_id remap_id freebase_id
152949 0 m.0f7jpbw
154518 1 m.0v1_6dj
64981 2 m.0mbpxv
11325966 3 m.0lh896
186771 4 m.0dykj_8
93295 5 m.0dm9rk5
186773 6 m.0dykj_g
301557 7 m.0dr2116
301556 8 m.0dx_2zh
186770 9 m.0dykk90
115904 10 m.0dyfh9s
11200 11 m.0dmfdsg
115901 12 m.0dyfhcf
115900 13 m.0dnlny2
115899 14 m.0dms80v
115898 15 m.0dyfhbt
115897 16 m.0dtp_8t
115896 17 m.0dyfhb0
88520 18 m.0dyfhc_
115895 19 m.0dyfhbk
115886 20 m.0dyfhb8
115885 21 m.0dx51kz
107747 22 m.012btlw
119882 23 m.012btmr
11123 24 m.010v82h
214544 25 m.010v82y
214543 26 m.010v834
119879 27 m.012btp8
80846 28 m.013z0jg
305223 29 m.0195983
118835 30 m.0139rkk
280742 31 m.0ls4pm
328346 32 m.0lk4xk
328345 33 m.0lk4xs
326812 34 m.0zns0v
328344 35 m.0_crnz
328343 36 m.0lk4yw
323086 37 m.0lk4z2
328342 38 m.0lk4z9
328340 39 m.0lk4zr
328339 40 m.0lk4zz
328338 41 m.0lk4_5
328337 42 m.0lk4_d
328336 43 m.0lk4_m
304512 44 m.0fsmcq_
201930 45 m.0fsmcq1
118009 46 m.0qpg3c
135068 47 m.0m_f3y
230443 48 m.0fy2rgz
231469 49 m.0s9916
117857 50 m.01119m8
34349 51 m.0ftgv3k
97382 52 m.019kzpp
34842 53 m.0lnmzd
32974 54 m.0dn7czx
37058 55 m.0m46cx
304513 56 m.0fsmcqm
304510 57 m.0fsmcpg
302924 58 m.0fsmcq6
304509 59 m.0fsmcpk
304508 60 m.0fsmcpp
304507 61 m.0fsmcqs
16565 62 m.0n4rsth
16763 63 m.01f4s19
16761 64 m.01f4s1r
16760 65 m.01f4s1z
256895 66 m.01f4s2d
304504 67 m.01f4s2m
304503 68 m.01f4s2v
259913 69 m.01f4s31
256953 70 m.01f4s3h
16783 71 m.0z0d6v
16782 72 m.0qh8tx
16781 73 m.0qh8v3
16780 74 m.0qh8vb
16779 75 m.0qh8vk
16778 76 m.0w2yfq
16777 77 m.0qh8v_
10114 78 m.0lnx2q
157689 79 m.0m2hc6
128788 80 m.0l1kzy
255607 81 m.0l1kzq
329626 82 m.0l1l07
160716 83 m.0lh4mj
392480 84 m.0l1k_t
325693 85 m.0l1k_4
328367 86 m.0l1kzh
392860 87 m.0l1gm5
6457 88 m.0l1k_c
176228 89 m.0pks8h
315765 90 m.0m2hcw
210024 91 m.0lhjl_
61041 92 m.0ny0hl
61040 93 m.0ny0ht
61039 94 m.0ny0j0
445328 95 m.0r4y6g
473423 96 m.0ny0k3
473641 97 m.0ny0kb
473640 98 m.0ny0ks
160580 99 m.0dmzgwg
160581 100 m.0dmzgv1
160582 101 m.0dmzgxj
160584 102 m.0dmzgxd
248783 103 m.0dnc494
248782 104 m.0dnc48r
16569 105 m.0n4rst7
16568 106 m.0n4rssr
16567 107 m.0_wmczw
16566 108 m.0n4rssh
156538 109 m.0n4rstw
156536 110 m.0n4rsvg
187374 111 m.0n4rsw2
187373 112 m.0n4rswc
72163 113 m.0ncj31
3328 114 m.0rc45q
1053073 115 m.0v8zsy
199117 116 m.0lhzj4
377547 117 m.0v8zq2
152391 118 m.0m5f0h
119986 119 m.0qmdjp
530864 120 m.0rn01d
638427 121 m.0dprhl5
109021 122 m.0dpmb_k
1592342 123 m.0n5rcs
283854 124 m.0fw9h_0
722051 125 m.0fw9h_t
722048 126 m.0fsq8mz
496128 127 m.0yx_t_
151973 128 m.0z5z34
72585 129 m.0rrh_m
110092 130 m.0qq5v6
196140 131 m.0nkjj4
199527 132 m.0lx4c3
402895 133 m.0dpbwjb
641149 134 m.0g6g82x
80340 135 m.0rrhyf
471397 136 m.0mbqh6
116437 137 m.0__scx
453690 138 m.0dn3k0b
453622 139 m.01dn18r
197747 140 m.013rtlj
441261 141 m.0ltssp
58092 142 m.0lbh7z
34541 143 m.0m5f0y
152389 144 m.0lm54c
152388 145 m.0m5f1c
152385 146 m.0lm557
152383 147 m.0m5f2g
152382 148 m.0m5f2p
16713 149 m.01bxh23
283369 150 m.0z1z4c
778635 151 m.0nxkyf
109020 152 m.0dpmc0p
108034 153 m.0r8cthy
644981 154 m.0fwn_j1
530865 155 m.0rn01v
2104207 156 m.0tbj74
51748 157 m.0fcf0tm
308869 158 m.0txj1p
51219 159 m.0mbz5_
4079 160 m.0m7k4q
580 161 m.0qmdh4
520452 162 m.0pylld
210219 163 m.0pyllm
207254 164 m.0pyllv
698388 165 m.0pylm1
58399 166 m.0fqfdyd
58662 167 m.0fqfdwh
185039 168 m.0lyg81
103230 169 m.0m8v88
70445 170 m.01c9t97
22258 171 m.0lvdh1
403452 172 m.0ftnm2q
153734 173 m.0dq3_51
200045 174 m.0_7jbt
120964 175 m.0lnw_w
101961 176 m.0lrrx_
101960 177 m.0wn9hh
101959 178 m.0wn9hy
101958 179 m.0wn9j4
99271 180 m.0mlpcq
105765 181 m.0vrx1l
106267 182 m.0vrx2g
106263 183 m.0vrx3k
106262 184 m.0vrx3s
106261 185 m.0vrx3_
102438 186 m.0lkykl
45661 187 m.0sxyl5
102434 188 m.0lkylp
102433 189 m.0lkylx
102432 190 m.0lkym3
102431 191 m.0vg9pj
104480 192 m.012yd12
103693 193 m.0sj4fs
104588 194 m.0llkvd
104587 195 m.0lhgdk
45085 196 m.0lhgds
104876 197 m.023h3b2
98947 198 m.0lhgf6
103511 199 m.0f6hr3f
103510 200 m.0lhgfn
99222 201 m.0lhgg2
103509 202 m.0lhgg9
103508 203 m.0lhggj
101266 204 m.0lhggr
103507 205 m.0lhggz
103489 206 m.0lhgh5
103488 207 m.0dn8mb_
7847149 208 m.0mvpcd
5329624 209 m.0lh0zt
1053 210 m.0nc_tj
1052 211 m.0nc_tz
1051 212 m.0nc_v5
537 213 m.0dql_rn
533 214 m.0d_r368
432727 215 m.0dqkzkw
4702 216 m.0dqkzk9
4530 217 m.0dqkzj9
432726 218 m.0dmnz6x
4679 219 m.0dqkzh_
432725 220 m.0dqkzkl
432917 221 m.0dqkzjf
432724 222 m.0dqkzjr
568473 223 m.0dmspkl
196 224 m.0dvb318
523 225 m.0d_r36z
354 226 m.0dxt__2
46889 227 m.0dmgynq
6867 228 m.0fqhj1r
45311 229 m.0fqhj1w
45310 230 m.0fqhj1g
45309 231 m.0fqhj0j
45308 232 m.0fqhj19
45307 233 m.0fqhj0w
45306 234 m.0fqhj1m
5553 235 m.0fqhj0f
46887 236 m.0dmgymw
46874 237 m.0dmfch8
46873 238 m.0dmgym_
8792 239 m.0rh_gd
8791 240 m.015fcql
10412 241 m.0z4j67
10410 242 m.0rflk7
10409 243 m.0rflkg
10408 244 m.0rflkp
10407 245 m.0rds7y
10406 246 m.0rfll3
123137 247 m.0rfllb
10405 248 m.0rfllk
884 249 m.0nc_vd
103378 250 m.019r_dg
103525 251 m.019r_dp
115876 252 m.019r_fb
115875 253 m.019r_fk
115873 254 m.019r_f_
115872 255 m.019r_g6
115871 256 m.019r_gf
115870 257 m.019r_gn
38708 258 m.01d026j
31399 259 m.01d026r
121783 260 m.01d026z
121598 261 m.01d0275
120741 262 m.01d027d
121752 263 m.01d027v
124875 264 m.01d0281
33055 265 m.01d0288
272517 266 m.01d028q
407741 267 m.01d028y
229711 268 m.0zd1l3
229418 269 m.01bg59l
233978 270 m.0pd1vc
229704 271 m.0pd1vt
458617 272 m.0w3yg3
458616 273 m.0w3ygb
458615 274 m.0w3ygk
458614 275 m.0w3ygs
458613 276 m.0w3yg_
458612 277 m.0w3yh6
220240 278 m.0w3yhn
43313 279 m.0w3yhw
